Hyperlink,Total Bed Spaces,Computer room,Secure entrance,Non-smoking,24-hour staff cover,Self-service laundry,Printing facilities,Bicycle storage,Accessible rooms,Communal TV,Catered,Lift access,Quiet study space,WiFi,Self-catered,Car parking,Projector/Cinema room,Common room
http://www.lse.ac.uk/student-life/accommodation/halls/college-hall/home.aspx,28,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/international-hall/home.aspx,106,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/butlers-wharf-residence/home.aspx,280,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/bankside-house/home.aspx,595,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/carr-saunders-hall/home.aspx,155,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/connaught-hall/home.aspx,26,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/high-holborn-residence/home.aspx,446,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/urbanest-westminster-bridge/home.aspx,669,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/lilian-knowles-house/home.aspx,365,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/passfield-hall/home.aspx,227,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/nutford-house/home.aspx,40,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/rosebery-hall/home.aspx,337,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
http://www.lse.ac.uk/student-life/accommodation/halls/the-garden-halls/home.aspx,150,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/sidney-webb-house/home.aspx,454,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
