Hyperlink,Total Bed Spaces,24-hour staff cover,Non-smoking,Secure entrance,Self-catered,WiFi,Car parking,Common room,Bicycle storage,Lift access,Projector/Cinema room,Communal TV,Printing facilities,Quiet study space,Catered,Accessible rooms,Computer room,Self-service laundry,Name,Price Range(£/week)
http://www.lse.ac.uk/student-life/accommodation/halls/urbanest-westminster-bridge/home.aspx,669,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,College Hall,289-392
http://www.lse.ac.uk/student-life/accommodation/halls/lilian-knowles-house/home.aspx,365,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,International Hall,266-321
http://www.lse.ac.uk/student-life/accommodation/halls/college-hall/home.aspx,28,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,Butler's Wharf Residence,127-278
http://www.lse.ac.uk/student-life/accommodation/halls/international-hall/home.aspx,106,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,Bankside House,167-297
http://www.lse.ac.uk/student-life/accommodation/halls/butlers-wharf-residence/home.aspx,280,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,Carr-Saunders Hall,173-259
http://www.lse.ac.uk/student-life/accommodation/halls/bankside-house/home.aspx,595,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,Connaught Hall,273-273
http://www.lse.ac.uk/student-life/accommodation/halls/carr-saunders-hall/home.aspx,155,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,High Holborn Residence,184-333
http://www.lse.ac.uk/student-life/accommodation/halls/connaught-hall/home.aspx,26,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,urbanest Westminster Bridge,227-458
http://www.lse.ac.uk/student-life/accommodation/halls/high-holborn-residence/home.aspx,446,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,Lilian Knowles House,198-336
http://www.lse.ac.uk/student-life/accommodation/halls/passfield-hall/home.aspx,227,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,Passfield Hall,129-287
http://www.lse.ac.uk/student-life/accommodation/halls/nutford-house/home.aspx,40,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,Nutford House,183-263
http://www.lse.ac.uk/student-life/accommodation/halls/rosebery-hall/home.aspx,337,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,Rosebery Hall,168-263
http://www.lse.ac.uk/student-life/accommodation/halls/the-garden-halls/home.aspx,150,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,The Garden Halls,269-374
http://www.lse.ac.uk/student-life/accommodation/halls/sidney-webb-house/home.aspx,454,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,Sidney Webb House,221-336
